configuration_id,domain,pair,alpha,method,status,observed,finite_upper_bound,percent_of_bound,search_completed,construction_completed,count_scope,formula,source
hurricane:EP172000__EP061970:a0.5|CPS-2F,hurricane,EP172000__EP061970,0.5,CPS-2F,validated,4069.0,3092511744.0,0.00013157589483352985,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP172000__EP061970:a0.5|CPS-3F,hurricane,EP172000__EP061970,0.5,CPS-3F,validated,350.0,861184.0,0.04064172116527943,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP111995__EP032014:a0.5|CPS-2F,hurricane,EP111995__EP032014,0.5,CPS-2F,validated,9335.0,18539817921.0,5.035108780343669e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP111995__EP032014:a0.5|CPS-3F,hurricane,EP111995__EP032014,0.5,CPS-3F,validated,562.0,2825761.0,0.019888447749119617,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP061986__EP131991:a0.5|CPS-2F,hurricane,EP061986__EP131991,0.5,CPS-2F,validated,5169.0,73763130000.0,7.007565975033868e-06,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP061986__EP131991:a0.5|CPS-3F,hurricane,EP061986__EP131991,0.5,CPS-3F,validated,338.0,7075600.0,0.004776980044095201,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP092002__EP171994:a0.5|CPS-2F,hurricane,EP092002__EP171994,0.5,CPS-2F,validated,3208.0,2021017596.0,0.0001587319183340747,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP092002__EP171994:a0.5|CPS-3F,hurricane,EP092002__EP171994,0.5,CPS-3F,validated,243.0,649636.0,0.03740556249961517,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL091944__AL031917:a0.5|CPS-2F,hurricane,AL091944__AL031917,0.5,CPS-2F,validated,3660.0,4051874925.0,9.032855326846004e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:AL091944__AL031917:a0.5|CPS-3F,hurricane,AL091944__AL031917,0.5,CPS-3F,validated,195.0,1030225.0,0.018927904098619233,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP101985__EP151985:a0.5|CPS-2F,hurricane,EP101985__EP151985,0.5,CPS-2F,validated,4039.0,10823177100.0,3.731806254930449e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP101985__EP151985:a0.5|CPS-3F,hurricane,EP101985__EP151985,0.5,CPS-3F,validated,288.0,1976836.0,0.014568735089810181,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP031965__EP141991:a0.5|CPS-3F,hurricane,EP031965__EP141991,0.5,CPS-3F,validated,260.0,1102500.0,0.023582766439909298,True,True,completed search,n^2*m^2,Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
hurricane:EP031965__EP141991:a0.5|CPS-2F,hurricane,EP031965__EP141991,0.5,CPS-2F,validated,3543.0,4483867500.0,7.901660787255645e-05,True,True,completed search,n*m*(n+2n(n-1))*(m+2m(m-1)),Thesis Observation 4 p.18 and section 5.1 p.26; manuscript section 4.4 pp.15-16
