configuration_id,plan_order,domain,pair,nA,nB,units,input_file,input_sha256,method,alpha,delta1,delta2,delta3,base_configuration_id,repetition,block_id,reuse_path
protein:1o7j.a__1d9q.d:a0.5|CPS-3F|repetition2,51,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,CPS-3F,0.5,9.476499139682725,10.101752088004297,47.96448297438429,protein:1o7j.a__1d9q.d:a0.5|CPS-3F,2,r2:1o7j.a__1d9q.d,
protein:1o7j.a__1d9q.d:a0.5|Independent continuous|repetition2,52,protein,1o7j.a__1d9q.d,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1d9q.d.npz,6da737c8ea96bfb47844846e5920c7268988254098012fbdabfcb166eda79bc3,Independent continuous,0.5,9.476499139682725,10.101752088004297,47.96448297438429,protein:1o7j.a__1d9q.d:a0.5|Independent continuous,2,r2:1o7j.a__1d9q.d,
protein:1o7j.a__1hfj.c:a0.5|Independent discrete|repetition2,53,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,Independent discrete,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,protein:1o7j.a__1hfj.c:a0.5|Independent discrete,2,r2:1o7j.a__1hfj.c,
protein:1o7j.a__1hfj.c:a0.5|CPS-2F|repetition2,54,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,CPS-2F,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,protein:1o7j.a__1hfj.c:a0.5|CPS-2F,2,r2:1o7j.a__1hfj.c,
protein:1o7j.a__1hfj.c:a0.5|CPS-3F|repetition2,55,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,CPS-3F,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,protein:1o7j.a__1hfj.c:a0.5|CPS-3F,2,r2:1o7j.a__1hfj.c,
protein:1o7j.a__1hfj.c:a0.5|Independent continuous|repetition2,56,protein,1o7j.a__1hfj.c,22,22,angstrom,output\paper_v1\inputs\protein_1o7j.a__1hfj.c.npz,7b773f6fd281824e25d8e444c9a70b1ca04a33b497237bdb6ee4b0605a6d1365,Independent continuous,0.5,9.476499139682725,9.537881702673165,0.9993252723713152,protein:1o7j.a__1hfj.c:a0.5|Independent continuous,2,r2:1o7j.a__1hfj.c,
protein:1o7j.a__1qd1.b:a0.5|Independent discrete|repetition2,57,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,Independent discrete,0.5,9.476499139682725,10.890797290213742,35.978995691931146,protein:1o7j.a__1qd1.b:a0.5|Independent discrete,2,r2:1o7j.a__1qd1.b,
protein:1o7j.a__1qd1.b:a0.5|CPS-2F|repetition2,58,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,CPS-2F,0.5,9.476499139682725,10.890797290213742,35.978995691931146,protein:1o7j.a__1qd1.b:a0.5|CPS-2F,2,r2:1o7j.a__1qd1.b,
protein:1o7j.a__1qd1.b:a0.5|CPS-3F|repetition2,59,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,CPS-3F,0.5,9.476499139682725,10.890797290213742,35.978995691931146,protein:1o7j.a__1qd1.b:a0.5|CPS-3F,2,r2:1o7j.a__1qd1.b,
protein:1o7j.a__1qd1.b:a0.5|Independent continuous|repetition2,60,protein,1o7j.a__1qd1.b,22,22,angstrom,output\paper_v1\expanded_comparison\inputs\protein_1o7j.a__1qd1.b.npz,ee71f8b3980b2ceeb3dfe43be7b165082559212dfed03bb475480ffc13dfaa10,Independent continuous,0.5,9.476499139682725,10.890797290213742,35.978995691931146,protein:1o7j.a__1qd1.b:a0.5|Independent continuous,2,r2:1o7j.a__1qd1.b,
