pair,individuals,domain,basin,nA,nB,eligible,exclusion_reason
EP021991__EP091982,"['EP021991', 'EP091982']",hurricane,pacific,30,30,True,
EP021991__EP092012,"['EP021991', 'EP092012']",hurricane,pacific,30,47,True,
EP021999__EP021969,"['EP021999', 'EP021969']",hurricane,pacific,32,33,True,
EP021999__EP031978,"['EP021999', 'EP031978']",hurricane,pacific,32,35,True,
EP021999__EP031994,"['EP021999', 'EP031994']",hurricane,pacific,32,29,True,
EP021999__EP051990,"['EP021999', 'EP051990']",hurricane,pacific,32,26,True,
EP021999__EP061982,"['EP021999', 'EP061982']",hurricane,pacific,32,32,True,
EP021999__EP071971,"['EP021999', 'EP071971']",hurricane,pacific,32,29,True,
EP021999__EP092012,"['EP021999', 'EP092012']",hurricane,pacific,32,47,True,
EP021999__EP101985,"['EP021999', 'EP101985']",hurricane,pacific,32,37,True,
EP021999__EP111985,"['EP021999', 'EP111985']",hurricane,pacific,32,36,True,
EP021999__EP121991,"['EP021999', 'EP121991']",hurricane,pacific,32,46,True,
EP021999__EP131986,"['EP021999', 'EP131986']",hurricane,pacific,32,28,True,
EP021999__EP151989,"['EP021999', 'EP151989']",hurricane,pacific,32,40,True,
EP021999__EP191982,"['EP021999', 'EP191982']",hurricane,pacific,32,27,True,
EP022001__EP101981,"['EP022001', 'EP101981']",hurricane,pacific,26,27,True,
EP022008__EP031978,"['EP022008', 'EP031978']",hurricane,pacific,37,35,True,
EP022008__EP122004,"['EP022008', 'EP122004']",hurricane,pacific,37,52,True,
EP022008__EP141990,"['EP022008', 'EP141990']",hurricane,pacific,37,35,True,
EP022008__EP191990,"['EP022008', 'EP191990']",hurricane,pacific,37,35,True,
EP022008__EP261992,"['EP022008', 'EP261992']",hurricane,pacific,37,28,True,
EP022012__EP011958,"['EP022012', 'EP011958']",hurricane,pacific,25,41,True,
EP022012__EP032015,"['EP022012', 'EP032015']",hurricane,pacific,25,32,True,
EP022012__EP191983,"['EP022012', 'EP191983']",hurricane,pacific,25,34,True,
EP022012__EP202009,"['EP022012', 'EP202009']",hurricane,pacific,25,27,True,
EP022012__EP212014,"['EP022012', 'EP212014']",hurricane,pacific,25,27,True,
EP031949__EP092013,"['EP031949', 'EP092013']",hurricane,pacific,25,31,True,
EP031949__EP132003,"['EP031949', 'EP132003']",hurricane,pacific,25,31,True,
EP031949__EP142014,"['EP031949', 'EP142014']",hurricane,pacific,25,35,True,
EP031957__EP031949,"['EP031957', 'EP031949']",hurricane,pacific,27,25,True,
EP031957__EP111967,"['EP031957', 'EP111967']",hurricane,pacific,27,27,True,
EP031957__EP142014,"['EP031957', 'EP142014']",hurricane,pacific,27,35,True,
EP031959__EP152009,"['EP031959', 'EP152009']",hurricane,pacific,25,38,True,
EP031965__EP081981,"['EP031965', 'EP081981']",hurricane,pacific,25,29,True,
EP031965__EP122006,"['EP031965', 'EP122006']",hurricane,pacific,25,42,True,
EP031965__EP141991,"['EP031965', 'EP141991']",hurricane,pacific,25,42,True,
EP031965__EP172009,"['EP031965', 'EP172009']",hurricane,pacific,25,31,True,
EP031965__EP191990,"['EP031965', 'EP191990']",hurricane,pacific,25,35,True,
EP031966__EP041994,"['EP031966', 'EP041994']",hurricane,pacific,39,26,True,
EP031966__EP051985,"['EP031966', 'EP051985']",hurricane,pacific,39,35,True,
EP031966__EP062011,"['EP031966', 'EP062011']",hurricane,pacific,39,29,True,
EP031966__EP101987,"['EP031966', 'EP101987']",hurricane,pacific,39,34,True,
EP031966__EP121985,"['EP031966', 'EP121985']",hurricane,pacific,39,42,True,
EP031966__EP161990,"['EP031966', 'EP161990']",hurricane,pacific,39,55,True,
EP031968__EP031988,"['EP031968', 'EP031988']",hurricane,pacific,27,28,True,
EP031968__EP032004,"['EP031968', 'EP032004']",hurricane,pacific,27,28,True,
EP031968__EP041983,"['EP031968', 'EP041983']",hurricane,pacific,27,26,True,
EP031968__EP042014,"['EP031968', 'EP042014']",hurricane,pacific,27,42,True,
EP031968__EP051990,"['EP031968', 'EP051990']",hurricane,pacific,27,26,True,
EP031968__EP061966,"['EP031968', 'EP061966']",hurricane,pacific,27,43,True,
EP031968__EP071971,"['EP031968', 'EP071971']",hurricane,pacific,27,29,True,
EP031968__EP071987,"['EP031968', 'EP071987']",hurricane,pacific,27,28,True,
EP031968__EP071990,"['EP031968', 'EP071990']",hurricane,pacific,27,28,True,
EP031968__EP081967,"['EP031968', 'EP081967']",hurricane,pacific,27,25,True,
EP031968__EP081978,"['EP031968', 'EP081978']",hurricane,pacific,27,32,True,
EP031968__EP091995,"['EP031968', 'EP091995']",hurricane,pacific,27,29,True,
EP031968__EP092000,"['EP031968', 'EP092000']",hurricane,pacific,27,25,True,
EP031968__EP101975,"['EP031968', 'EP101975']",hurricane,pacific,27,31,True,
EP031968__EP101980,"['EP031968', 'EP101980']",hurricane,pacific,27,26,True,
EP031968__EP101985,"['EP031968', 'EP101985']",hurricane,pacific,27,37,True,
EP031968__EP102000,"['EP031968', 'EP102000']",hurricane,pacific,27,25,True,
EP031968__EP102002,"['EP031968', 'EP102002']",hurricane,pacific,27,31,True,
EP031968__EP112004,"['EP031968', 'EP112004']",hurricane,pacific,27,44,True,
EP031968__EP121968,"['EP031968', 'EP121968']",hurricane,pacific,27,37,True,
EP031968__EP121983,"['EP031968', 'EP121983']",hurricane,pacific,27,34,True,
EP031968__EP131985,"['EP031968', 'EP131985']",hurricane,pacific,27,29,True,
EP031968__EP131986,"['EP031968', 'EP131986']",hurricane,pacific,27,28,True,
EP031968__EP141997,"['EP031968', 'EP141997']",hurricane,pacific,27,34,True,
EP031968__EP151985,"['EP031968', 'EP151985']",hurricane,pacific,27,38,True,
EP031968__EP151989,"['EP031968', 'EP151989']",hurricane,pacific,27,40,True,
EP031971__EP011980,"['EP031971', 'EP011980']",hurricane,pacific,27,28,True,
EP031971__EP031978,"['EP031971', 'EP031978']",hurricane,pacific,27,35,True,
EP031971__EP091965,"['EP031971', 'EP091965']",hurricane,pacific,27,37,True,
EP031971__EP191990,"['EP031971', 'EP191990']",hurricane,pacific,27,35,True,
EP031975__EP011970,"['EP031975', 'EP011970']",hurricane,pacific,35,31,True,
EP031975__EP021969,"['EP031975', 'EP021969']",hurricane,pacific,35,33,True,
EP031975__EP021999,"['EP031975', 'EP021999']",hurricane,pacific,35,32,True,
EP031975__EP031978,"['EP031975', 'EP031978']",hurricane,pacific,35,35,True,
EP031975__EP031988,"['EP031975', 'EP031988']",hurricane,pacific,35,28,True,
EP031975__EP031994,"['EP031975', 'EP031994']",hurricane,pacific,35,29,True,
EP031975__EP041983,"['EP031975', 'EP041983']",hurricane,pacific,35,26,True,
EP031975__EP051990,"['EP031975', 'EP051990']",hurricane,pacific,35,26,True,
EP031975__EP061982,"['EP031975', 'EP061982']",hurricane,pacific,35,32,True,
EP031975__EP071978,"['EP031975', 'EP071978']",hurricane,pacific,35,29,True,
EP031975__EP072011,"['EP031975', 'EP072011']",hurricane,pacific,35,26,True,
EP031975__EP091972,"['EP031975', 'EP091972']",hurricane,pacific,35,33,True,
EP031975__EP091982,"['EP031975', 'EP091982']",hurricane,pacific,35,30,True,
EP031975__EP092012,"['EP031975', 'EP092012']",hurricane,pacific,35,47,True,
EP031975__EP101975,"['EP031975', 'EP101975']",hurricane,pacific,35,31,True,
EP031975__EP111975,"['EP031975', 'EP111975']",hurricane,pacific,35,37,True,
EP031975__EP111985,"['EP031975', 'EP111985']",hurricane,pacific,35,36,True,
EP031975__EP112004,"['EP031975', 'EP112004']",hurricane,pacific,35,44,True,
EP031975__EP121991,"['EP031975', 'EP121991']",hurricane,pacific,35,46,True,
EP031975__EP131986,"['EP031975', 'EP131986']",hurricane,pacific,35,28,True,
EP031975__EP151989,"['EP031975', 'EP151989']",hurricane,pacific,35,40,True,
EP031975__EP191982,"['EP031975', 'EP191982']",hurricane,pacific,35,27,True,
EP031978__EP191990,"['EP031978', 'EP191990']",hurricane,pacific,35,35,True,
EP031984__EP072012,"['EP031984', 'EP072012']",hurricane,pacific,36,33,True,
EP031984__EP081995,"['EP031984', 'EP081995']",hurricane,pacific,36,28,True,
EP031984__EP212015,"['EP031984', 'EP212015']",hurricane,pacific,36,33,True,
EP031986__EP011976,"['EP031986', 'EP011976']",hurricane,pacific,25,44,True,
EP031986__EP021984,"['EP031986', 'EP021984']",hurricane,pacific,25,82,True,
EP031986__EP041975,"['EP031986', 'EP041975']",hurricane,pacific,25,41,True,
EP031986__EP062012,"['EP031986', 'EP062012']",hurricane,pacific,25,40,True,
EP031986__EP071984,"['EP031986', 'EP071984']",hurricane,pacific,25,30,True,
EP031986__EP101989,"['EP031986', 'EP101989']",hurricane,pacific,25,27,True,
EP031986__EP111983,"['EP031986', 'EP111983']",hurricane,pacific,25,36,True,
EP031986__EP132009,"['EP031986', 'EP132009']",hurricane,pacific,25,39,True,
EP031986__EP141971,"['EP031986', 'EP141971']",hurricane,pacific,25,27,True,
EP031986__EP172013,"['EP031986', 'EP172013']",hurricane,pacific,25,48,True,
EP031988__EP021969,"['EP031988', 'EP021969']",hurricane,pacific,28,33,True,
EP031988__EP031994,"['EP031988', 'EP031994']",hurricane,pacific,28,29,True,
EP031988__EP041983,"['EP031988', 'EP041983']",hurricane,pacific,28,26,True,
EP031988__EP051990,"['EP031988', 'EP051990']",hurricane,pacific,28,26,True,
EP031988__EP051995,"['EP031988', 'EP051995']",hurricane,pacific,28,36,True,
EP031988__EP061966,"['EP031988', 'EP061966']",hurricane,pacific,28,43,True,
EP031988__EP061982,"['EP031988', 'EP061982']",hurricane,pacific,28,32,True,
EP031988__EP071971,"['EP031988', 'EP071971']",hurricane,pacific,28,29,True,
EP031988__EP071973,"['EP031988', 'EP071973']",hurricane,pacific,28,25,True,
EP031988__EP071987,"['EP031988', 'EP071987']",hurricane,pacific,28,28,True,
EP031988__EP081967,"['EP031988', 'EP081967']",hurricane,pacific,28,25,True,
EP031988__EP081978,"['EP031988', 'EP081978']",hurricane,pacific,28,32,True,
EP031988__EP091972,"['EP031988', 'EP091972']",hurricane,pacific,28,33,True,
EP031988__EP091995,"['EP031988', 'EP091995']",hurricane,pacific,28,29,True,
EP031988__EP092000,"['EP031988', 'EP092000']",hurricane,pacific,28,25,True,
EP031988__EP101980,"['EP031988', 'EP101980']",hurricane,pacific,28,26,True,
EP031988__EP101983,"['EP031988', 'EP101983']",hurricane,pacific,28,31,True,
EP031988__EP111975,"['EP031988', 'EP111975']",hurricane,pacific,28,37,True,
EP031988__EP112004,"['EP031988', 'EP112004']",hurricane,pacific,28,44,True,
EP031988__EP121968,"['EP031988', 'EP121968']",hurricane,pacific,28,37,True,
EP031988__EP131986,"['EP031988', 'EP131986']",hurricane,pacific,28,28,True,
EP031988__EP141991,"['EP031988', 'EP141991']",hurricane,pacific,28,42,True,
EP031988__EP141997,"['EP031988', 'EP141997']",hurricane,pacific,28,34,True,
EP031988__EP151967,"['EP031988', 'EP151967']",hurricane,pacific,28,27,True,
EP031988__EP151989,"['EP031988', 'EP151989']",hurricane,pacific,28,40,True,
EP031988__EP191982,"['EP031988', 'EP191982']",hurricane,pacific,28,27,True,
EP031988__EP212015,"['EP031988', 'EP212015']",hurricane,pacific,28,33,True,
EP031990__EP072012,"['EP031990', 'EP072012']",hurricane,pacific,32,33,True,
EP031991__EP011973,"['EP031991', 'EP011973']",hurricane,pacific,45,43,True,
EP031991__EP031998,"['EP031991', 'EP031998']",hurricane,pacific,45,36,True,
EP031991__EP041992,"['EP031991', 'EP041992']",hurricane,pacific,45,50,True,
EP031991__EP081991,"['EP031991', 'EP081991']",hurricane,pacific,45,28,True,
EP031991__EP091998,"['EP031991', 'EP091998']",hurricane,pacific,45,40,True,
EP031991__EP092012,"['EP031991', 'EP092012']",hurricane,pacific,45,47,True,
EP031991__EP151990,"['EP031991', 'EP151990']",hurricane,pacific,45,36,True,
EP031991__EP181982,"['EP031991', 'EP181982']",hurricane,pacific,45,40,True,
EP031991__EP181985,"['EP031991', 'EP181985']",hurricane,pacific,45,46,True,
EP031991__EP191984,"['EP031991', 'EP191984']",hurricane,pacific,45,33,True,
EP031994__EP021969,"['EP031994', 'EP021969']",hurricane,pacific,29,33,True,
EP031994__EP031971,"['EP031994', 'EP031971']",hurricane,pacific,29,27,True,
EP031994__EP031978,"['EP031994', 'EP031978']",hurricane,pacific,29,35,True,
EP031994__EP061982,"['EP031994', 'EP061982']",hurricane,pacific,29,32,True,
EP031994__EP061992,"['EP031994', 'EP061992']",hurricane,pacific,29,34,True,
EP031994__EP071971,"['EP031994', 'EP071971']",hurricane,pacific,29,29,True,
EP031994__EP081967,"['EP031994', 'EP081967']",hurricane,pacific,29,25,True,
EP031994__EP101985,"['EP031994', 'EP101985']",hurricane,pacific,29,37,True,
EP031994__EP111975,"['EP031994', 'EP111975']",hurricane,pacific,29,37,True,
EP031994__EP131986,"['EP031994', 'EP131986']",hurricane,pacific,29,28,True,
EP031994__EP141991,"['EP031994', 'EP141991']",hurricane,pacific,29,42,True,
EP031994__EP151989,"['EP031994', 'EP151989']",hurricane,pacific,29,40,True,
EP031994__EP191982,"['EP031994', 'EP191982']",hurricane,pacific,29,27,True,
EP031994__EP191990,"['EP031994', 'EP191990']",hurricane,pacific,29,35,True,
EP031995__EP041976,"['EP031995', 'EP041976']",hurricane,pacific,42,30,True,
EP031995__EP082008,"['EP031995', 'EP082008']",hurricane,pacific,42,40,True,
EP031995__EP111968,"['EP031995', 'EP111968']",hurricane,pacific,42,41,True,
EP031995__EP121989,"['EP031995', 'EP121989']",hurricane,pacific,42,45,True,
EP031995__EP161974,"['EP031995', 'EP161974']",hurricane,pacific,42,43,True,
EP031995__EP261992,"['EP031995', 'EP261992']",hurricane,pacific,42,28,True,
EP031998__EP091998,"['EP031998', 'EP091998']",hurricane,pacific,36,40,True,
EP032000__EP011969,"['EP032000', 'EP011969']",hurricane,pacific,27,28,True,
EP032000__EP011976,"['EP032000', 'EP011976']",hurricane,pacific,27,44,True,
EP032000__EP021983,"['EP032000', 'EP021983']",hurricane,pacific,27,38,True,
EP032000__EP021984,"['EP032000', 'EP021984']",hurricane,pacific,27,82,True,
EP032000__EP031986,"['EP032000', 'EP031986']",hurricane,pacific,27,25,True,
EP032000__EP041975,"['EP032000', 'EP041975']",hurricane,pacific,27,41,True,
EP032000__EP132009,"['EP032000', 'EP132009']",hurricane,pacific,27,39,True,
EP032000__EP141971,"['EP032000', 'EP141971']",hurricane,pacific,27,27,True,
EP032004__EP062006,"['EP032004', 'EP062006']",hurricane,pacific,28,41,True,
EP032004__EP091995,"['EP032004', 'EP091995']",hurricane,pacific,28,29,True,
EP032004__EP151985,"['EP032004', 'EP151985']",hurricane,pacific,28,38,True,
EP032005__EP021983,"['EP032005', 'EP021983']",hurricane,pacific,30,38,True,
EP032005__EP032011,"['EP032005', 'EP032011']",hurricane,pacific,30,29,True,
EP032005__EP041975,"['EP032005', 'EP041975']",hurricane,pacific,30,41,True,
EP032005__EP042002,"['EP032005', 'EP042002']",hurricane,pacific,30,30,True,
EP032005__EP051973,"['EP032005', 'EP051973']",hurricane,pacific,30,27,True,
EP032005__EP081995,"['EP032005', 'EP081995']",hurricane,pacific,30,28,True,
EP032005__EP092011,"['EP032005', 'EP092011']",hurricane,pacific,30,50,True,
EP032005__EP101990,"['EP032005', 'EP101990']",hurricane,pacific,30,38,True,
EP032005__EP111983,"['EP032005', 'EP111983']",hurricane,pacific,30,36,True,
EP032005__EP131987,"['EP032005', 'EP131987']",hurricane,pacific,30,29,True,
EP032005__EP141971,"['EP032005', 'EP141971']",hurricane,pacific,30,27,True,
EP032005__EP151967,"['EP032005', 'EP151967']",hurricane,pacific,30,27,True,
EP032005__EP151991,"['EP032005', 'EP151991']",hurricane,pacific,30,45,True,
EP032005__EP152001,"['EP032005', 'EP152001']",hurricane,pacific,30,31,True,
EP032005__EP231990,"['EP032005', 'EP231990']",hurricane,pacific,30,67,True,
EP032006__EP061997,"['EP032006', 'EP061997']",hurricane,pacific,27,30,True,
EP032006__EP071992,"['EP032006', 'EP071992']",hurricane,pacific,27,42,True,
EP032006__EP092006,"['EP032006', 'EP092006']",hurricane,pacific,27,35,True,
EP032006__EP102004,"['EP032006', 'EP102004']",hurricane,pacific,27,33,True,
EP032006__EP111978,"['EP032006', 'EP111978']",hurricane,pacific,27,38,True,
EP032006__EP171985,"['EP032006', 'EP171985']",hurricane,pacific,27,45,True,
EP032006__EP201992,"['EP032006', 'EP201992']",hurricane,pacific,27,69,True,
EP032009__EP051952,"['EP032009', 'EP051952']",hurricane,pacific,25,29,True,
EP032009__EP092002,"['EP032009', 'EP092002']",hurricane,pacific,25,26,True,
EP032011__EP012002,"['EP032011', 'EP012002']",hurricane,pacific,29,31,True,
EP032011__EP012011,"['EP032011', 'EP012011']",hurricane,pacific,29,30,True,
EP032011__EP042002,"['EP032011', 'EP042002']",hurricane,pacific,29,30,True,
EP032011__EP141971,"['EP032011', 'EP141971']",hurricane,pacific,29,27,True,
EP032011__EP172014,"['EP032011', 'EP172014']",hurricane,pacific,29,44,True,
EP032013__EP041966,"['EP032013', 'EP041966']",hurricane,pacific,30,38,True,
EP032013__EP041985,"['EP032013', 'EP041985']",hurricane,pacific,30,39,True,
EP032013__EP061968,"['EP032013', 'EP061968']",hurricane,pacific,30,41,True,
EP032013__EP061981,"['EP032013', 'EP061981']",hurricane,pacific,30,27,True,
EP032013__EP081976,"['EP032013', 'EP081976']",hurricane,pacific,30,31,True,
EP032013__EP091990,"['EP032013', 'EP091990']",hurricane,pacific,30,47,True,
EP032014__EP112012,"['EP032014', 'EP112012']",hurricane,pacific,41,33,True,
EP032014__EP172013,"['EP032014', 'EP172013']",hurricane,pacific,41,48,True,
EP032014__EP182014,"['EP032014', 'EP182014']",hurricane,pacific,41,36,True,
EP032014__EP241990,"['EP032014', 'EP241990']",hurricane,pacific,41,41,True,
EP032015__EP031996,"['EP032015', 'EP031996']",hurricane,pacific,32,29,True,
EP041953__EP012002,"['EP041953', 'EP012002']",hurricane,pacific,25,31,True,
EP041953__EP012011,"['EP041953', 'EP012011']",hurricane,pacific,25,30,True,
EP041953__EP032014,"['EP041953', 'EP032014']",hurricane,pacific,25,41,True,
EP041953__EP041991,"['EP041953', 'EP041991']",hurricane,pacific,25,26,True,
EP041953__EP111988,"['EP041953', 'EP111988']",hurricane,pacific,25,34,True,
EP041953__EP111995,"['EP041953', 'EP111995']",hurricane,pacific,25,41,True,
EP041953__EP162003,"['EP041953', 'EP162003']",hurricane,pacific,25,25,True,
EP041953__EP182014,"['EP041953', 'EP182014']",hurricane,pacific,25,36,True,
EP041954__EP122006,"['EP041954', 'EP122006']",hurricane,pacific,31,42,True,
EP041965__EP032005,"['EP041965', 'EP032005']",hurricane,pacific,31,30,True,
EP041965__EP042002,"['EP041965', 'EP042002']",hurricane,pacific,31,30,True,
EP041965__EP042010,"['EP041965', 'EP042010']",hurricane,pacific,31,50,True,
EP041965__EP051973,"['EP041965', 'EP051973']",hurricane,pacific,31,27,True,
EP041965__EP071978,"['EP041965', 'EP071978']",hurricane,pacific,31,29,True,
EP041965__EP091971,"['EP041965', 'EP091971']",hurricane,pacific,31,35,True,
EP041965__EP092011,"['EP041965', 'EP092011']",hurricane,pacific,31,50,True,
EP041965__EP131987,"['EP041965', 'EP131987']",hurricane,pacific,31,29,True,
EP041965__EP151991,"['EP041965', 'EP151991']",hurricane,pacific,31,45,True,
EP041965__EP152001,"['EP041965', 'EP152001']",hurricane,pacific,31,31,True,
EP041965__EP231990,"['EP041965', 'EP231990']",hurricane,pacific,31,67,True,
EP041971__EP041982,"['EP041971', 'EP041982']",hurricane,pacific,47,62,True,
EP041971__EP171992,"['EP041971', 'EP171992']",hurricane,pacific,47,49,True,
EP041972__EP112005,"['EP041972', 'EP112005']",hurricane,pacific,37,65,True,
EP041975__EP011976,"['EP041975', 'EP011976']",hurricane,pacific,41,44,True,
EP041975__EP021984,"['EP041975', 'EP021984']",hurricane,pacific,41,82,True,
EP041976__EP041984,"['EP041976', 'EP041984']",hurricane,pacific,30,48,True,
EP041976__EP111968,"['EP041976', 'EP111968']",hurricane,pacific,30,41,True,
EP041976__EP161974,"['EP041976', 'EP161974']",hurricane,pacific,30,43,True,
EP041978__EP081976,"['EP041978', 'EP081976']",hurricane,pacific,29,31,True,
EP041978__EP092012,"['EP041978', 'EP092012']",hurricane,pacific,29,47,True,
EP041978__EP121989,"['EP041978', 'EP121989']",hurricane,pacific,29,45,True,
EP041978__EP191984,"['EP041978', 'EP191984']",hurricane,pacific,29,33,True,
EP041979__EP032004,"['EP041979', 'EP032004']",hurricane,pacific,27,28,True,
EP041979__EP042014,"['EP041979', 'EP042014']",hurricane,pacific,27,42,True,
EP041979__EP062006,"['EP041979', 'EP062006']",hurricane,pacific,27,41,True,
EP041979__EP071990,"['EP041979', 'EP071990']",hurricane,pacific,27,28,True,
EP041979__EP121968,"['EP041979', 'EP121968']",hurricane,pacific,27,37,True,
EP041979__EP151985,"['EP041979', 'EP151985']",hurricane,pacific,27,38,True,
EP041979__EP152015,"['EP041979', 'EP152015']",hurricane,pacific,27,40,True,
EP041981__EP021999,"['EP041981', 'EP021999']",hurricane,pacific,25,32,True,
EP041981__EP031965,"['EP041981', 'EP031965']",hurricane,pacific,25,25,True,
EP041981__EP031968,"['EP041981', 'EP031968']",hurricane,pacific,25,27,True,
EP041981__EP031988,"['EP041981', 'EP031988']",hurricane,pacific,25,28,True,
EP041981__EP031994,"['EP041981', 'EP031994']",hurricane,pacific,25,29,True,
EP041981__EP051990,"['EP041981', 'EP051990']",hurricane,pacific,25,26,True,
EP041981__EP051995,"['EP041981', 'EP051995']",hurricane,pacific,25,36,True,
EP041981__EP061982,"['EP041981', 'EP061982']",hurricane,pacific,25,32,True,
EP041981__EP061992,"['EP041981', 'EP061992']",hurricane,pacific,25,34,True,
EP041981__EP071971,"['EP041981', 'EP071971']",hurricane,pacific,25,29,True,
EP041981__EP081967,"['EP041981', 'EP081967']",hurricane,pacific,25,25,True,
EP041981__EP081981,"['EP041981', 'EP081981']",hurricane,pacific,25,29,True,
EP041981__EP091972,"['EP041981', 'EP091972']",hurricane,pacific,25,33,True,
EP041981__EP101983,"['EP041981', 'EP101983']",hurricane,pacific,25,31,True,
EP041981__EP111985,"['EP041981', 'EP111985']",hurricane,pacific,25,36,True,
EP041981__EP131986,"['EP041981', 'EP131986']",hurricane,pacific,25,28,True,
EP041981__EP141991,"['EP041981', 'EP141991']",hurricane,pacific,25,42,True,
EP041981__EP141997,"['EP041981', 'EP141997']",hurricane,pacific,25,34,True,
EP041981__EP151989,"['EP041981', 'EP151989']",hurricane,pacific,25,40,True,
EP041981__EP211992,"['EP041981', 'EP211992']",hurricane,pacific,25,40,False,previously tested unordered pair
EP041981__EP212015,"['EP041981', 'EP212015']",hurricane,pacific,25,33,True,
EP041983__EP011985,"['EP041983', 'EP011985']",hurricane,pacific,26,27,True,
EP041983__EP061982,"['EP041983', 'EP061982']",hurricane,pacific,26,32,True,
EP041983__EP071971,"['EP041983', 'EP071971']",hurricane,pacific,26,29,True,
EP041983__EP071978,"['EP041983', 'EP071978']",hurricane,pacific,26,29,True,
EP041983__EP091971,"['EP041983', 'EP091971']",hurricane,pacific,26,35,True,
EP041983__EP091972,"['EP041983', 'EP091972']",hurricane,pacific,26,33,True,
EP041983__EP111975,"['EP041983', 'EP111975']",hurricane,pacific,26,37,True,
EP041983__EP112004,"['EP041983', 'EP112004']",hurricane,pacific,26,44,True,
EP041983__EP121968,"['EP041983', 'EP121968']",hurricane,pacific,26,37,True,
EP041983__EP131986,"['EP041983', 'EP131986']",hurricane,pacific,26,28,True,
EP041983__EP131987,"['EP041983', 'EP131987']",hurricane,pacific,26,29,True,
EP041983__EP141997,"['EP041983', 'EP141997']",hurricane,pacific,26,34,True,
EP041983__EP151967,"['EP041983', 'EP151967']",hurricane,pacific,26,27,True,
EP041983__EP151989,"['EP041983', 'EP151989']",hurricane,pacific,26,40,True,
EP041983__EP191982,"['EP041983', 'EP191982']",hurricane,pacific,26,27,True,
EP041983__EP231990,"['EP041983', 'EP231990']",hurricane,pacific,26,67,True,
EP041984__EP061997,"['EP041984', 'EP061997']",hurricane,pacific,48,30,True,
EP041984__EP111978,"['EP041984', 'EP111978']",hurricane,pacific,48,38,True,
EP041985__EP041966,"['EP041985', 'EP041966']",hurricane,pacific,39,38,True,
EP041985__EP061981,"['EP041985', 'EP061981']",hurricane,pacific,39,27,True,
EP041988__EP051979,"['EP041988', 'EP051979']",hurricane,pacific,30,29,True,
EP041988__EP052009,"['EP041988', 'EP052009']",hurricane,pacific,30,25,True,
EP041988__EP091965,"['EP041988', 'EP091965']",hurricane,pacific,30,37,True,
EP041988__EP162009,"['EP041988', 'EP162009']",hurricane,pacific,30,30,True,
EP041991__EP012001,"['EP041991', 'EP012001']",hurricane,pacific,26,29,True,
EP041991__EP012002,"['EP041991', 'EP012002']",hurricane,pacific,26,31,True,
EP041991__EP042013,"['EP041991', 'EP042013']",hurricane,pacific,26,40,True,
EP041991__EP111988,"['EP041991', 'EP111988']",hurricane,pacific,26,34,True,
EP041992__EP181985,"['EP041992', 'EP181985']",hurricane,pacific,50,46,True,
EP041994__EP082009,"['EP041994', 'EP082009']",hurricane,pacific,26,33,True,
EP041994__EP091974,"['EP041994', 'EP091974']",hurricane,pacific,26,42,True,
EP041994__EP101987,"['EP041994', 'EP101987']",hurricane,pacific,26,34,True,
EP041994__EP112005,"['EP041994', 'EP112005']",hurricane,pacific,26,65,True,
EP042002__EP031984,"['EP042002', 'EP031984']",hurricane,pacific,30,36,True,
EP042002__EP081995,"['EP042002', 'EP081995']",hurricane,pacific,30,28,True,
EP042002__EP231990,"['EP042002', 'EP231990']",hurricane,pacific,30,67,True,
EP042004__EP051979,"['EP042004', 'EP051979']",hurricane,pacific,30,29,True,
EP042004__EP081965,"['EP042004', 'EP081965']",hurricane,pacific,30,31,True,
EP042004__EP091965,"['EP042004', 'EP091965']",hurricane,pacific,30,37,True,
EP042004__EP141990,"['EP042004', 'EP141990']",hurricane,pacific,30,35,True,
EP042006__EP021969,"['EP042006', 'EP021969']",hurricane,pacific,33,33,True,
EP042006__EP021999,"['EP042006', 'EP021999']",hurricane,pacific,33,32,True,
EP042006__EP031975,"['EP042006', 'EP031975']",hurricane,pacific,33,35,True,
EP042006__EP031978,"['EP042006', 'EP031978']",hurricane,pacific,33,35,True,
EP042006__EP031988,"['EP042006', 'EP031988']",hurricane,pacific,33,28,True,
EP042006__EP031994,"['EP042006', 'EP031994']",hurricane,pacific,33,29,True,
EP042006__EP051990,"['EP042006', 'EP051990']",hurricane,pacific,33,26,True,
EP042006__EP061982,"['EP042006', 'EP061982']",hurricane,pacific,33,32,True,
EP042006__EP071971,"['EP042006', 'EP071971']",hurricane,pacific,33,29,True,
EP042006__EP071978,"['EP042006', 'EP071978']",hurricane,pacific,33,29,True,
EP042006__EP081978,"['EP042006', 'EP081978']",hurricane,pacific,33,32,True,
EP042006__EP092012,"['EP042006', 'EP092012']",hurricane,pacific,33,47,True,
EP042006__EP101975,"['EP042006', 'EP101975']",hurricane,pacific,33,31,True,
EP042006__EP101985,"['EP042006', 'EP101985']",hurricane,pacific,33,37,True,
EP042006__EP111975,"['EP042006', 'EP111975']",hurricane,pacific,33,37,True,
EP042006__EP111985,"['EP042006', 'EP111985']",hurricane,pacific,33,36,True,
EP042006__EP121991,"['EP042006', 'EP121991']",hurricane,pacific,33,46,True,
EP042006__EP131986,"['EP042006', 'EP131986']",hurricane,pacific,33,28,True,
EP042006__EP151989,"['EP042006', 'EP151989']",hurricane,pacific,33,40,True,
EP042006__EP191968,"['EP042006', 'EP191968']",hurricane,pacific,33,33,True,
