pair,individuals,domain,basin,nA,nB,eligible,exclusion_reason
EP141970__EP141987,"['EP141970', 'EP141987']",hurricane,pacific,25,25,True,
EP141970__EP142014,"['EP141970', 'EP142014']",hurricane,pacific,25,35,True,
EP141970__EP152005,"['EP141970', 'EP152005']",hurricane,pacific,25,31,True,
EP141971__EP011969,"['EP141971', 'EP011969']",hurricane,pacific,27,28,True,
EP141971__EP011976,"['EP141971', 'EP011976']",hurricane,pacific,27,44,True,
EP141971__EP012011,"['EP141971', 'EP012011']",hurricane,pacific,27,30,True,
EP141971__EP021983,"['EP141971', 'EP021983']",hurricane,pacific,27,38,True,
EP141971__EP021984,"['EP141971', 'EP021984']",hurricane,pacific,27,82,True,
EP141971__EP041975,"['EP141971', 'EP041975']",hurricane,pacific,27,41,True,
EP141971__EP141998,"['EP141971', 'EP141998']",hurricane,pacific,27,47,True,
EP141971__EP152001,"['EP141971', 'EP152001']",hurricane,pacific,27,31,True,
EP141971__EP172013,"['EP141971', 'EP172013']",hurricane,pacific,27,48,True,
EP141971__EP241990,"['EP141971', 'EP241990']",hurricane,pacific,27,41,True,
EP141978__EP041963,"['EP141978', 'EP041963']",hurricane,pacific,30,39,True,
EP141978__EP081972,"['EP141978', 'EP081972']",hurricane,pacific,30,41,True,
EP141978__EP091959,"['EP141978', 'EP091959']",hurricane,pacific,30,31,True,
EP141978__EP091991,"['EP141978', 'EP091991']",hurricane,pacific,30,26,True,
EP141978__EP131983,"['EP141978', 'EP131983']",hurricane,pacific,30,34,True,
EP141978__EP161997,"['EP141978', 'EP161997']",hurricane,pacific,30,43,True,
EP141982__EP031957,"['EP141982', 'EP031957']",hurricane,pacific,36,27,True,
EP141982__EP092013,"['EP141982', 'EP092013']",hurricane,pacific,36,31,True,
EP141982__EP141967,"['EP141982', 'EP141967']",hurricane,pacific,36,37,True,
EP141987__EP081996,"['EP141987', 'EP081996']",hurricane,pacific,25,29,True,
EP141987__EP082012,"['EP141987', 'EP082012']",hurricane,pacific,25,35,True,
EP141987__EP122007,"['EP141987', 'EP122007']",hurricane,pacific,25,28,True,
EP141987__EP131971,"['EP141987', 'EP131971']",hurricane,pacific,25,29,True,
EP141987__EP142007,"['EP141987', 'EP142007']",hurricane,pacific,25,25,True,
EP141987__EP152005,"['EP141987', 'EP152005']",hurricane,pacific,25,31,True,
EP141987__EP181970,"['EP141987', 'EP181970']",hurricane,pacific,25,29,True,
EP141990__EP122004,"['EP141990', 'EP122004']",hurricane,pacific,35,52,True,
EP141991__EP191990,"['EP141991', 'EP191990']",hurricane,pacific,42,35,True,
EP141991__EP212015,"['EP141991', 'EP212015']",hurricane,pacific,42,33,True,
