curve_A,curve_B,name_A,year_A,name_B,year_B,basin,n_A,n_B,len_A_km,len_B_km,c_cube_A,c_cube_B,c_ball_A,c_ball_B,c_cube_pair,c_ball_pair,frechet_km,discrete_frechet_km,frechet_over_len
EP101970,EP172000,JOYCE,1970,OLIVIA,2000,pacific,25,32,1771.5,1858.6,2.3989,2.7196,2.0277,2.0964,2.7196,2.0964,367.9,366.32,0.2077
EP081998,EP101983,GEORGETTE,1998,JULIETTE,1983,pacific,26,31,2484.7,2490.7,2.7905,3.016,2.0273,2.2648,3.016,2.2648,368.26,366.11,0.1482
EP032005,EP051973,CALVIN,2005,EMILY,1973,pacific,30,27,3104.8,3038.9,2.7478,2.8746,2.3291,2.0982,2.8746,2.3291,368.36,367.23,0.1212
EP081998,EP171994,GEORGETTE,1998,OLIVIA,1994,pacific,26,31,2484.7,2470.6,2.7905,4.5709,2.0273,4.095,4.5709,4.095,368.71,366.77,0.1492
EP092002,EP171994,GENEVIEVE,2002,OLIVIA,1994,pacific,26,31,2291.9,2470.6,2.8155,4.5709,2.1319,4.095,4.5709,4.095,368.71,366.77,0.1609
EP152014,EP161968,ODILE,2014,PAULINE,1968,pacific,37,31,2674.4,2638.5,2.7771,2.8614,2.2596,2.1804,2.8614,2.2596,369.15,373.32,0.1399
EP032013,EP041966,COSME,2013,DOLORES,1966,pacific,30,38,4003.0,4065.1,2.7199,3.6252,2.0488,2.7822,3.6252,2.7822,369.2,371.71,0.0922
EP072011,EP071987,GREG,2011,GREG,1987,pacific,26,28,3069.5,2828.1,2.2809,2.6188,2.0218,2.1336,2.6188,2.1336,369.53,367.07,0.1307
EP121982,EP261992,LANE,1982,YOLANDA,1992,pacific,26,28,3382.9,4092.0,2.4314,2.9173,2.0316,2.5061,2.9173,2.5061,369.77,366.62,0.1093
EP042002,EP231990,CRISTINA,2002,TRUDY,1990,pacific,30,67,2784.4,3867.9,2.9566,6.0575,2.2326,5.801,6.0575,5.801,369.83,372.17,0.1328
EP111993,EP081995,JOVA,1993,GIL,1995,pacific,32,28,2920.1,2562.3,2.2906,3.0351,2.0346,2.3445,3.0351,2.3445,369.88,367.57,0.1444
EP071973,EP152001,GLENDA,1973,MANUEL,2001,pacific,25,31,2916.4,2919.0,2.6344,2.9444,2.1244,2.393,2.9444,2.393,370.02,370.07,0.1269
AL091999,AL101989,GERT,1999,GABRIELLE,1989,atlantic,49,58,6981.1,7503.5,2.8294,4.3281,2.2817,3.9177,4.3281,3.9177,370.25,365.77,0.053
EP021983,EP011976,BARBARA,1983,ANNETTE,1976,pacific,38,44,3112.4,2765.1,3.1154,4.5613,2.2504,4.0,4.5613,4.0,370.39,368.13,0.134
EP111993,EP032005,JOVA,1993,CALVIN,2005,pacific,32,30,2920.1,3104.8,2.2906,2.7478,2.0346,2.3291,2.7478,2.3291,370.54,368.14,0.1269
EP052002,EP121993,DOUGLAS,2002,KENNETH,1993,pacific,27,50,3731.9,3830.2,2.5075,2.7141,2.0927,2.1322,2.7141,2.1322,370.86,370.01,0.0994
AL051942,AL131969,UNNAMED,1942,FRANCELIA,1969,atlantic,32,27,3535.6,3118.8,2.2072,2.2752,2.0059,2.0514,2.2752,2.0514,371.12,368.18,0.119
EP172000,EP171987,OLIVIA,2000,RAMON,1987,pacific,32,27,1858.6,2340.8,2.7196,2.8043,2.0964,2.0879,2.8043,2.0964,371.27,371.77,0.1998
EP051966,EP032009,EILEEN,1966,BLANCA,2009,pacific,25,25,2426.8,2163.0,2.6612,2.7369,2.2814,2.1418,2.7369,2.2814,371.37,370.15,0.1717
EP121982,EP081971,LANE,1982,HILARY,1971,pacific,26,49,3382.9,3959.5,2.4314,2.8151,2.0316,2.3141,2.8151,2.3141,372.32,369.11,0.1101
AL051876,AL111909,UNNAMED,1876,UNNAMED,1909,atlantic,49,30,3885.2,4220.8,2.6824,2.9779,2.1333,2.5433,2.9779,2.5433,372.46,372.83,0.0959
EP031988,EP101980,CARLOTTA,1988,JAVIER,1980,pacific,28,26,2785.9,2812.3,2.411,2.6574,2.065,2.0604,2.6574,2.065,372.8,370.45,0.1338
EP081990,EP072008,GENEVIEVE,1990,FAUSTO,2008,pacific,35,33,3670.2,3796.9,2.6803,2.8177,2.0591,2.0514,2.8177,2.0591,372.86,369.55,0.1016
EP051992,EP091984,DARBY,1992,ISELLE,1984,pacific,31,36,4044.1,3422.5,2.6655,2.8124,2.1576,2.0841,2.8124,2.1576,373.24,370.17,0.1091
AL051876,AL071865,UNNAMED,1876,UNNAMED,1865,atlantic,49,34,3885.2,4062.8,2.6824,2.8102,2.1333,2.0838,2.8102,2.1333,373.26,370.36,0.0961
EP042006,EP111975,CARLOTTA,2006,KATRINA,1975,pacific,33,37,3342.9,3428.8,2.2134,2.8206,2.0248,2.1006,2.8206,2.1006,373.51,370.43,0.1117
EP011976,EP111988,ANNETTE,1976,KRISTY,1988,pacific,44,34,2765.1,2329.5,4.5613,6.0905,4.0,5.6866,6.0905,5.6866,373.73,371.84,0.1604
