id,name,year,basin,n,length_km,extent_km,c_cube,c_ball
EP072012,GILMA,2012,pacific,33,2275.96,2015.94,3.3391,2.6973
AL132000,ISAAC,2000,atlantic,52,10013.07,7118.18,3.3452,2.6694
AL181933,UNNAMED,1933,atlantic,55,3636.19,2990.98,3.3458,2.6448
AL081958,HELENE,1958,atlantic,54,10121.53,7276.87,3.3461,2.806
AL152008,OMAR,2008,atlantic,32,4029.72,3763.48,3.3468,2.8954
EP041963,JEN-KATH,1963,pacific,39,4724.18,3392.97,3.3479,2.7539
AL061893,UNNAMED,1893,atlantic,75,11446.46,7408.52,3.351,3.0136
EP102015,HILDA,2015,pacific,36,3401.7,3263.75,3.3556,2.6093
AL011928,UNNAMED,1928,atlantic,46,4365.78,2991.21,3.3558,2.5811
AL101916,UNNAMED,1916,atlantic,35,4252.33,3248.04,3.3577,2.6543
AL101996,JOSEPHINE,1996,atlantic,47,9648.43,7951.07,3.3621,3.1767
AL101964,HILDA,1964,atlantic,30,2752.73,1655.85,3.3633,2.8375
AL061938,UNNAMED,1938,atlantic,57,8924.54,6791.13,3.3651,3.1728
AL031921,UNNAMED,1921,atlantic,48,8699.21,6117.79,3.3652,2.587
EP012002,ALMA,2002,pacific,31,2231.59,1783.83,3.3669,2.7706
EP161967,RAMONA,1967,pacific,55,4465.25,3719.21,3.3674,2.6053
AL011940,UNNAMED,1940,atlantic,32,2955.28,2585.6,3.3777,2.4384
AL071950,GEORGE,1950,atlantic,42,7413.09,6043.37,3.3794,2.7373
AL011949,UNNAMED,1949,atlantic,37,8305.76,6735.55,3.3884,3.0248
AL011966,ALMA,1966,atlantic,42,4192.71,3575.73,3.3925,2.5621
AL041943,UNNAMED,1943,atlantic,36,3325.57,2890.34,3.3959,3.16
AL092005,IRENE,2005,atlantic,56,7003.11,4991.3,3.3989,3.0994
AL051940,UNNAMED,1940,atlantic,49,7442.98,4869.28,3.4011,2.4953
EP121967,MONICA,1967,pacific,30,1183.66,869.11,3.4024,3.1369
AL091949,UNNAMED,1949,atlantic,27,1440.65,1128.49,3.4033,2.8702
AL062001,ERIN,2001,atlantic,62,8898.84,6677.88,3.404,2.6974
EP112004,HOWARD,2004,pacific,44,3817.68,3106.4,3.4043,2.9561
AL031947,UNNAMED,1947,atlantic,39,2638.07,2130.43,3.4138,2.7231
AL021939,UNNAMED,1939,atlantic,49,4610.94,3195.48,3.4349,2.9726
AL131936,UNNAMED,1936,atlantic,71,8487.74,6006.97,3.4364,2.8319
AL031888,UNNAMED,1888,atlantic,44,6786.78,4933.56,3.4418,3.117
AL051997,DANNY,1997,atlantic,47,4710.85,4419.62,3.4424,2.5302
AL162007,NOEL,2007,atlantic,56,7804.95,5946.13,3.4428,3.0868
EP052015,DOLORES,2015,pacific,45,3950.28,3516.8,3.4444,2.9632
AL071894,UNNAMED,1894,atlantic,42,6512.54,5379.28,3.4457,2.9982
EP072001,FLOSSIE,2001,pacific,28,1754.51,1404.8,3.4463,3.2472
AL201971,UNNAMED,1971,atlantic,33,2229.38,1628.82,3.4481,3.0312
AL061948,UNNAMED,1948,atlantic,54,11103.2,7583.39,3.4492,2.6266
AL061908,UNNAMED,1908,atlantic,50,7357.87,5324.99,3.4506,2.7424
AL071964,ETHEL,1964,atlantic,49,7486.87,4621.46,3.4559,2.7972
AL081989,FELIX,1989,atlantic,63,6264.79,4306.49,3.4582,3.1675
AL122000,HELENE,2000,atlantic,42,8408.78,4987.41,3.4624,2.8493
EP131967,NANETTE,1967,pacific,33,2387.09,1898.72,3.4672,3.0215
AL102003,FABIAN,2003,atlantic,53,9172.03,6355.03,3.4681,2.6758
AL062010,DANIELLE,2010,atlantic,51,9345.08,6292.0,3.469,2.8068
AL051880,UNNAMED,1880,atlantic,40,3645.23,2943.23,3.4721,2.9975
AL101936,UNNAMED,1936,atlantic,49,8658.58,5853.46,3.4751,2.5752
AL131971,EDITH,1971,atlantic,51,6499.26,4867.23,3.4761,2.7679
AL061942,UNNAMED,1942,atlantic,27,2768.88,2206.91,3.4829,3.2705
AL021906,UNNAMED,1906,atlantic,41,3992.86,3192.63,3.4963,2.9904
EP061965,DOREEN,1965,pacific,41,4340.17,3525.55,3.5006,3.1705
AL051952,UNNAMED,1952,atlantic,27,3636.58,2572.36,3.5014,3.3968
EP151991,MARTY,1991,pacific,45,3786.95,3393.29,3.5044,2.9298
EP041975,DENISE,1975,pacific,41,3430.72,2891.07,3.506,3.3506
AL121988,KEITH,1988,atlantic,39,7810.26,5849.45,3.5108,2.8518
EP012012,ALETTA,2012,pacific,26,1676.38,1239.09,3.5145,3.2373
AL081955,IONE,1955,atlantic,69,12033.23,8022.8,3.5199,2.9849
EP041982,DANIEL,1982,pacific,62,7333.38,6632.44,3.5229,3.0415
AL061951,EASY,1951,atlantic,55,9298.34,5834.95,3.5251,3.0707
AL011852,UNNAMED,1852,atlantic,45,5020.46,3075.63,3.5373,3.1299
AL061991,CLAUDETTE,1991,atlantic,43,4899.14,3719.07,3.5382,3.1781
AL061939,UNNAMED,1939,atlantic,39,3738.44,3124.83,3.5487,3.2012
AL062014,EDOUARD,2014,atlantic,47,6656.91,3906.42,3.5487,2.9139
AL142010,LISA,2010,atlantic,38,2263.97,1830.39,3.553,2.7772
AL061954,CAROL,1954,atlantic,30,3033.04,2849.83,3.5608,2.9386
AL071898,UNNAMED,1898,atlantic,49,7151.94,4651.92,3.5613,2.7143
EP191983,TICO,1983,pacific,34,2626.91,2001.56,3.5646,3.0303
AL131967,BEULAH,1967,atlantic,70,5397.34,4800.62,3.5721,2.88
AL062005,FRANKLIN,2005,atlantic,37,4255.84,3703.07,3.576,2.8945
AL092013,HUMBERTO,2013,atlantic,46,4423.92,3611.58,3.5844,2.8756
AL072006,FLORENCE,2006,atlantic,62,10175.79,6494.89,3.6036,3.043
AL061946,UNNAMED,1946,atlantic,39,5249.11,3309.78,3.6103,3.0935
AL122011,KATIA,2011,atlantic,64,12543.58,8353.43,3.6183,2.8518
AL151970,UNNAMED,1970,atlantic,73,8524.93,6297.87,3.6186,3.4561
AL111973,UNNAMED,1973,atlantic,25,2088.49,1729.93,3.6241,3.1901
EP041966,DOLORES,1966,pacific,38,4065.12,3919.21,3.6252,2.7822
AL092006,HELENE,2006,atlantic,62,9871.52,6700.66,3.6256,2.7937
AL031935,UNNAMED,1935,atlantic,52,8231.47,5826.11,3.6422,3.1159
EP212014,VANCE,2014,pacific,27,2503.41,1858.13,3.6423,3.1069
EP032015,CARLOS,2015,pacific,32,1646.08,1428.66,3.6615,2.989
AL011912,UNNAMED,1912,atlantic,42,3769.29,2851.8,3.665,3.2059
AL121967,CHLOE,1967,atlantic,68,10235.06,6084.25,3.6785,3.4125
AL191972,DELTA,1972,atlantic,25,1649.84,973.08,3.6875,3.0272
AL061933,UNNAMED,1933,atlantic,62,9209.72,6550.3,3.7016,3.2057
AL041899,UNNAMED,1899,atlantic,43,5916.77,4232.78,3.7055,2.8811
EP101976,JOANNE,1976,pacific,41,4340.34,3775.8,3.7182,3.1734
AL141990,LILI,1990,atlantic,38,5753.71,3269.18,3.7262,3.2128
EP012014,AMANDA,2014,pacific,30,1281.11,970.5,3.7335,3.3889
AL041998,DANIELLE,1998,atlantic,61,10969.91,6903.36,3.7446,3.1381
