domain,pair,nA,nB,eligible,selection_rank,selected
hurricane,EP121983__EP091995,34,29,True,,False
hurricane,EP151987__EP031959,28,25,True,,False
hurricane,EP131994__EP092007,30,32,True,,False
hurricane,EP111954__EP021984,25,82,True,,False
hurricane,AL061931__AL011917,28,33,True,,False
hurricane,EP131971__EP092013,29,31,True,,False
hurricane,EP022008__EP261992,37,28,True,,False
hurricane,EP181984__EP032011,36,29,True,,False
hurricane,AL071891__AL061882,25,45,True,,False
hurricane,EP101970__EP122003,25,38,True,,False
hurricane,EP071972__EP052015,37,45,True,,False
hurricane,EP051992__EP081990,31,35,True,,False
hurricane,EP031975__EP051990,35,26,True,,False
hurricane,EP031995__EP161974,42,43,True,,False
hurricane,AL021943__AL041852,26,36,True,,False
hurricane,EP131990__EP041978,32,29,True,,False
hurricane,EP131983__EP101989,34,27,True,,False
hurricane,EP031968__EP121983,27,34,True,,False
hurricane,EP041953__EP111988,25,34,True,,False
hurricane,EP191985__EP091991,37,26,True,,False
hurricane,EP081981__EP162009,29,30,True,,False
hurricane,EP011969__EP011976,28,44,True,,False
hurricane,AL021889__AL112000,25,29,True,,False
hurricane,EP051973__EP152001,27,31,True,,False
hurricane,EP091988__EP032005,36,30,True,,False
hurricane,EP101975__EP071978,31,29,True,,False
hurricane,EP081978__EP111975,32,37,True,,False
hurricane,EP081978__EP151989,32,40,True,,False
hurricane,EP021949__EP082012,25,35,True,,False
hurricane,EP111985__EP061982,36,32,True,,False
hurricane,EP091975__EP071978,35,29,True,,False
hurricane,EP021949__EP112012,25,33,True,,False
hurricane,EP052001__EP051973,31,27,True,,False
hurricane,EP141997__EP121968,34,37,True,,False
hurricane,EP031968__EP032004,27,28,True,,False
hurricane,EP081988__EP052011,41,44,True,,False
hurricane,EP081991__EP191984,28,33,True,,False
hurricane,EP041983__EP091971,26,35,True,,False
hurricane,AL041865__AL031875,37,45,True,,False
hurricane,AL051907__AL132012,28,42,True,,False
hurricane,EP181970__EP142003,29,28,True,,False
hurricane,EP051988__EP032010,25,32,True,,False
hurricane,EP071971__EP151985,29,38,True,,False
hurricane,EP151989__EP121968,40,37,True,,False
hurricane,EP031968__EP071990,27,28,True,,False
hurricane,EP051973__EP042002,27,30,True,,False
hurricane,EP032014__EP112012,41,33,True,,False
hurricane,EP101970__EP071954,25,25,True,,False
hurricane,EP072008__EP151991,33,45,True,,False
hurricane,EP092002__EP061992,26,34,True,,False
hurricane,EP031988__EP071973,28,25,True,,False
hurricane,EP031957__EP142014,27,35,True,,False
hurricane,EP041953__EP032014,25,41,True,,False
hurricane,EP112006__EP091959,32,31,True,,False
hurricane,EP101989__EP071995,27,27,True,,False
hurricane,EP082008__EP161974,40,43,True,,False
hurricane,EP051951__EP041965,29,31,True,,False
hurricane,EP161970__EP011973,31,43,True,,False
hurricane,EP021985__EP041965,41,31,True,,False
hurricane,AL071996__AL102015,29,51,True,,False
hurricane,EP121983__EP091984,34,36,True,,False
hurricane,EP111983__EP181989,36,33,True,,False
hurricane,AL061880__AL051924,26,29,True,,False
hurricane,EP032000__EP011976,27,44,True,,False
hurricane,EP101989__EP061984,27,27,True,,False
hurricane,EP031949__EP132003,25,31,True,,False
hurricane,EP041981__EP031988,25,28,True,,False
hurricane,EP031994__EP141991,29,42,True,,False
hurricane,EP151967__EP111975,27,37,True,,False
hurricane,EP041991__EP042013,26,40,True,,False
hurricane,EP152001__EP081995,31,28,True,,False
hurricane,EP111954__EP041975,25,41,True,,False
hurricane,EP081987__EP101990,35,38,True,,False
hurricane,AL011893__AL061904,36,26,True,,False
hurricane,EP021954__EP032010,25,32,True,,False
hurricane,EP031966__EP161990,39,55,True,,False
