configuration_id,attempt_path,configuration_hash,input_hash_verified,code_hashes_verified,one_attempt,raw_saved_before_validation,raw_hash,validation_hash,status
hurricane:EP012014__EP212006:a0.5|Independent continuous|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\37\attempts\timing037_348fd4c4bc29498eb2a8db42522cdda9,ec930035c8c2f334833f41b32d1381500f3d0b7b053da1d0b4ddb1256fd56a3c,True,True,True,True,5db4cf689e6553939f1520a1c2f82ebfbab160e9940d30feabad1c83c8d6e4e2,c3c4c308317866b1e4ba4b71b5e73acf02f96095c2685e14a74cc3a5ee6db7a1,validated
hurricane:EP012014__EP212006:a0.5|Independent discrete|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\38\attempts\timing038_c2e1d19b946a40cfa1d18a1cca36310d,02cb97ac4fca5f28fd6a71ce3e1d27ad34992d46a59edca45547cb6acbc8563e,True,True,True,True,7aafac26de5db31ebebd0921f4154090ac518456593ffbe26050469339f6e211,723721a681f1e1b71383f02a3e7d1ace4502c674ec97a313ea5aa15414307529,validated
hurricane:EP012014__EP212006:a0.5|CPS-2F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\39\attempts\timing039_1d58bc9a523a4e6d8fe5c5675fe3badd,f74ffceadf19ed201855c8bf9e4e36a58afe6f7380668feee6144348b410d62c,True,True,True,True,b6e9484c1f419eace82eda1f4627512eb5325458bd1f9df66f3c795f74c6f4bf,6bb2f058eee9192c5e3ace1e51f7cc1ace38051667d4cd953bb4ad61451f18da,validated
hurricane:EP012014__EP212006:a0.5|CPS-3F|repetition1,output\paper_v1\expanded_comparison\timing_study\slots\40\attempts\timing040_e17c0a68843a465fa02d8de49eb131d7,31885fe8ccc0017931c14ea3e2a1acb32bb5f36df1b7d0249f5727dede2d71c1,True,True,True,True,29eef2717da889947a4c3361ae56f7a758616ec1770bd2e5fa965b15e177567c,18c47edb50f98d548337de94cc36d2ed01eb6450076f20831a189423483b0007,validated
hurricane:AL031854__AL011991:a0.5|Independent discrete|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\41\attempts\timing041_08d1e334250148b4b88b6880f4b9c806,d23da482a159c0f0ff61eb63561620c77f8fbaedc6da116db7ef894e4b4ec7e0,True,True,True,True,818a5ac5b843682704e871a9c90767bd673966d2c6d42effcf7553cf5256d722,0d8d69337c56f69b5b65b37b16ade6fbfae625a9d682f5cd3825bc2bcd6b6bf6,validated
hurricane:AL031854__AL011991:a0.5|CPS-2F|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\42\attempts\timing042_d18a2b6bd85448878d2ccba032709fd8,a72b2c7c2a4f12940e70606476e338c5889d935082f85f4b03dd81f16f8ba94d,True,True,True,True,4cd4532113c3f643c6cfac6b3406c0ee0e2cc83c69698aa30ef9812f8d0f056b,69386bccfceb4d9081fd667d7df9ef385c9ab284473225bf5f1bc59cc5a905a0,validated
hurricane:AL031854__AL011991:a0.5|CPS-3F|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\43\attempts\timing043_091929f2c4b84236b7484b694975b242,e38c0c4b67d1c0566a36c7da38b7222a4d91a15b0c78fac6c8ad570acd0741da,True,True,True,True,2d19133bc4bc7a8c4c0fa036ea0d877d900591f3f8471fc5546a11b856f1dcc0,e9eefaf1702170944baed9085adf33ec42483ed30f241657b02445c61ad02374,validated
hurricane:AL031854__AL011991:a0.5|Independent continuous|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\44\attempts\timing044_5358bd0ba1d348c784532407cfe089a5,ab497246d1169f631371a9ea0b99a3bd576120f8fb2a16c10417796ac07765a9,True,True,True,True,ae6b65231dd229ae3756caf1f2869607e9d2dd4fa7ea5849fdcc61b0e082a6dc,ac99d5610c3644cfbcdeafa0d29d4dd9b9f728a2de4a12100ed867cb4f4a74a7,validated
hurricane:EP021949__EP031949:a0.5|Independent discrete|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\45\attempts\timing045_6e220ac265ab4522a3d797dacb752db0,138939914f6ae5522042d23211dd8d224bb7e37b678fa1a44246cabd46c70df7,True,True,True,True,5eaaf5acf569a060fe11175ab51f4c215498bcedc5b423752cc2ac10dba648cc,f121098c583a5b6ea2b628632a19e01ca310a9eaa7ffcd9324907228578b1c6c,validated
hurricane:EP021949__EP031949:a0.5|CPS-2F|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\46\attempts\timing046_88107b88146047538150a92cf209fbc7,034dfb1d4420d6dff11102ba39f67d42ad454f50f49359d9e6dc1ff349d753b9,True,True,True,True,caa8a8824a0b899d4186edc9d310baf8e8326d893af9d8eb12b608882b262c13,a49a89ce95a4c14d28d2506ccbb5298328df51031cf89eeec7b89cf146285d30,validated
hurricane:EP021949__EP031949:a0.5|CPS-3F|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\47\attempts\timing047_229e01b22b014da5a1879c5da22ab554,86444ddc84b81dd0774f69191287d7752607b97b9700d20af4c154b03ecff0f3,True,True,True,True,26bd04872be771ad10e6df164dd35d6218fcfd550c50c8bf54250c48254897c5,9e86e083652560787d492695726c907e2cf5117e80872dd2e1d97d8d2c650ab0,validated
hurricane:EP021949__EP031949:a0.5|Independent continuous|repetition2,output\paper_v1\expanded_comparison\timing_study\slots\48\attempts\timing048_0061b62f345144a6bb1c4c8d33303e74,4ce2d5b73a741bc145c7130ad3ff598ecfd4bda86fce30687347b2b48ec2b19e,True,True,True,True,3c33b8cf0b1942455c8d0e23527dfad3f0f5e9354176a34567057cb367fa341b,8df1bb9b74f3ae9f7d141057c9a5ffb4404c0b22ad855f251d45802f26185c50,validated
